tracedir, tracefile, reid_rate, -, TP-TV_syn, TP-MSE_syn, TP-JS_syn, TP-TV_tra, TP-MSE_tra, TP-JS_tra, TP-TV_uni, TP-MSE_uni, TP-JS_uni, -, TP-TV-Top50_syn, TP-MSE-Top50_syn, TP-JS-Top50_syn, TP-TV-Top50_tra, TP-MSE-Top50_tra, TP-JS-Top50_tra, TP-TV-Top50_uni, TP-MSE-Top50_uni, TP-JS-Top50_uni, -, VF-TV_syn, VF-TV_tra, VF-TV_uni, -, TM-EMD-Y_syn, TM-EMD-X_syn, TM-EMD-Y_tra, TM-EMD-X_tra, TM-EMD-Y_uni, TM-EMD-X_uni, -, CP-TV_syn, CP-MSE_syn, CP-JS_syn, CP-TV_uni, CP-MSE_uni, CP-JS_uni
PPMTF_TK_alp2_mnt100_mnv100,syntraces_Itr100.csv,0.0078,-,0.47005333333332144,0.00532533333333351,0.22566822283873011,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.1424533333333313,0.0025699200000000124,0.048079719037820615,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,1.7907848824602641,1.8954748198383875,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.6425333333333336,0.017906666666666696,0.33166925366651523,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp0.5_mnt100_mnv100,syntraces_Itr100.csv,0.0026,-,0.5334933333333207,0.006268773333333501,0.27813711611014225,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.16321666666666465,0.0029324933333333423,0.066250645322293,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,2.2925091612899817,2.391231346671245,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.7301999999999997,0.026328711111111132,0.4102318542642722,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp1_mnt100_mnv100,syntraces_Itr100.csv,0.0048,-,0.48231333333332105,0.005431653333333508,0.23618212264328858,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.14164999999999806,0.002432440000000014,0.04897778868668253,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,2.050779555934335,2.1623903562365614,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.6981333333333335,0.022295022222222242,0.3842422197171357,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp0.7_mnt100_mnv100,syntraces_Itr100.csv,0.0024,-,0.4982066666666534,0.005811546666666838,0.25024068154666695,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.14910333333333142,0.002592520000000012,0.05528778545568415,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,2.330156030423301,2.396064477510694,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.7148000000000001,0.025174844444444462,0.3975213977374094,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp10_mnt100_mnv100,syntraces_Itr100.csv,0.0114,-,0.4477266666666567,0.005126426666666836,0.20683277030245967,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.13591333333333128,0.0023763200000000108,0.043504070543588166,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,2.0845618796363197,2.1337841424978334,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.5788666666666671,0.014878755555555585,0.2724961942237615,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp0.9_mnt100_mnv100,syntraces_Itr100.csv,0.0044,-,0.4905666666666533,0.005569733333333509,0.24410864468190624,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.14467666666666473,0.0024607333333333454,0.052486532182783666,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,2.1297254814661715,2.313541086816389,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.7252666666666668,0.02155208888888891,0.40520463439041965,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp100_mnt100_mnv100,syntraces_Itr100.csv,0.0178,-,0.4273933333333246,0.004922240000000169,0.19014489103573556,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.12885666666666454,0.002092066666666677,0.03868494773540125,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,1.8562044192240919,1.8558312035591342,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.5201333333333338,0.01217777777777778,0.2368051399572228,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp0.8_mnt100_mnv100,syntraces_Itr100.csv,0.0022,-,0.5038333333333196,0.005936720000000178,0.25384024825117146,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.15106666666666468,0.002576853333333348,0.05696376041831889,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,2.3292246743628904,2.501939888582722,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.7251333333333335,0.022259288888888912,0.40335628238809473,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp1000_mnt100_mnv100,syntraces_Itr100.csv,0.0148,-,0.43228666666665816,0.0050990400000001605,0.19336348449764568,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.12999333333333124,0.002120426666666678,0.03962778016981305,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,1.6495274591315394,1.702682675769116,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.5167333333333335,0.012361955555555564,0.23641664252388744,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp20_mnt100_mnv100,syntraces_Itr100.csv,0.0152,-,0.44126666666665687,0.004974560000000171,0.20204537278149046,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.13175666666666458,0.002176760000000012,0.041084524419733544,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,2.0305235483939645,1.9673031330629254,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.5480666666666668,0.013249244444444466,0.2574790005066643,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp200_mnt100_mnv100,syntraces_Itr100.csv,0.016,-,0.42735999999999147,0.004967066666666832,0.18964499754692915,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.12860333333333124,0.0020909466666666787,0.03845881111493221,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,1.8326085319619456,1.8325168819495439,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.49520000000000036,0.01064480000000002,0.22178581669956313,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
PPMTF_TK_alp0.6_mnt100_mnv100,syntraces_Itr100.csv,0.004,-,0.5264133333333196,0.006411226666666836,0.2711037823016839,0.38553333333332435,0.0040528000000002,0.16466924184380993,0.5349333333333691,0.005657066666667139,0.25100582798260734,-,0.16518666666666465,0.0030265866666666745,0.06635075652027864,0.11503333333333114,0.0016540000000000062,0.030972307703143746,0.1944999999999986,0.00403476666666663,0.0669400805570504,-,-,-,-,-,2.281773422762408,2.4131057563458325,0.589243225052185,0.6266992400795427,6.267082754793235,6.255796163224115,-,0.7258666666666669,0.025582933333333353,0.40582807251756925,0.7769999999999959,0.02774622222222212,0.4337194238761018,-
